
    1.0000   246.3120   211.8222   -66.4952     0.1813    55.6492  -101.2837   346.1859
    2.0000   246.3118   211.8221   -67.6454     0.1813    43.0688  -101.4169   332.3217
    3.0000   246.3116   211.8222   -68.1043     0.1813    96.0509  -100.1113   386.1505
    4.0000   246.3111   211.8221   -64.9772     0.1813    47.1904  -101.4999   339.0277
    5.0000   246.3111   211.8222   -71.1465     0.1813    45.7682  -101.3955   331.5408
    6.0000   246.3105   211.8217   -65.1443     0.1814    77.5564  -100.6939   370.0318
    7.0000   246.3106   211.8213   -66.8405     0.1814    77.0244  -101.3358   367.1613
    8.0000   246.3105   211.8209   -69.6664     0.1814    43.3712  -102.0348   329.9828
    9.0000   246.3111   211.8207   -71.4973     0.1814    65.3140  -101.4574   350.6724
   10.0000   246.3109   211.8204   -72.2882     0.1814    80.3173  -100.7314   365.6103
   11.0000   246.3116   211.8202   -72.7957     0.1813    56.2280  -101.2434   340.5020
   12.0000   246.3120   211.8200   -67.5724     0.1813    40.3817  -101.4420   329.6806
   13.0000   246.3124   211.8195   -70.7159     0.1813    52.3157  -101.9463   337.9667
   14.0000   246.3123   211.8193   -69.1377     0.1813    42.3464  -101.6224   329.8993
   15.0000   246.3118   211.8190   -65.0477     0.1814    79.8962  -101.1791   371.9815
   16.0000   246.3113   211.8190   -70.0424     0.1814    74.2586  -101.4143   361.1137
   17.0000   246.3110   211.8189   -67.5825     0.1814    42.7050  -101.8783   331.5555
   18.0000   246.3108   211.8188   -66.6199     0.1814    80.9073  -100.5317   372.0666
   19.0000   246.3106   211.8186   -66.3678     0.1814   111.5910   -99.8661   403.6677
   20.0000   246.3103   211.8183   -69.9641     0.1814   138.1298  -100.5522   425.9236
   21.0000   246.3099   211.8177   -65.6965     0.1814    39.7130  -101.3814   330.9441
   22.0000   246.3097   211.8180   -67.5490     0.1814   119.2665  -100.2562   409.7705
   23.0000   246.3101   211.8177   -72.2774     0.1814    58.2241  -101.1611   343.0948
   24.0000   246.3101   211.8174   -69.0302     0.1814    70.0582  -101.5792   357.7578
   25.0000   246.3107   211.8171   -69.4988     0.1814    42.4781  -101.4159   329.8726
   26.0000   246.3101   211.8170   -68.8069     0.1814    80.2202  -100.3707   369.3510
   27.0000   246.3106   211.8168   -67.5785     0.1814    84.5162   -99.9224   375.3241
   28.0000   246.3103   211.8171   -66.4521     0.1814    75.9721  -100.6227   367.2061
   29.0000   246.3099   211.8167   -67.7139     0.1814    54.1272  -101.4048   343.3165
   30.0000   246.3097   211.8165   -66.7952     0.1814    58.6966  -100.9221   349.2871
   31.0000   246.3100   211.8168   -73.0340     0.1814    66.8957  -100.9377   351.2323
   32.0000   246.3100   211.8168   -70.9410     0.1814   100.7363  -100.4629   387.6407
   33.0000   246.3105   211.8163   -70.7538     0.1814    78.2880  -100.7807   365.0617
   34.0000   246.3110   211.8164   -72.4961     0.1814    56.4492  -101.1085   341.1534
   35.0000   246.3111   211.8165   -65.5054     0.1814    39.4388  -101.4389   330.8033
